latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0.59753954,32.656742,1137.0,10800,Europe/Moscow,GMT+3

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),precipitation (mm),rain (mm)
2024-01-11T21:00,22.4,83,19.3,0.00,0.00
2024-01-11T22:00,22.0,85,19.4,0.00,0.00
2024-01-11T23:00,21.9,85,19.3,0.00,0.00
2024-01-12T00:00,21.8,83,18.8,0.00,0.00
2024-01-12T01:00,21.4,80,17.8,0.00,0.00
2024-01-12T02:00,20.8,79,17.0,0.00,0.00
2024-01-12T03:00,20.5,80,16.9,0.00,0.00
2024-01-12T04:00,19.8,87,17.5,0.30,0.30
2024-01-12T05:00,19.5,89,17.6,0.00,0.00
2024-01-12T06:00,19.0,90,17.4,0.00,0.00
2024-01-12T07:00,18.4,92,17.1,0.00,0.00
2024-01-12T08:00,19.6,90,17.9,0.00,0.00
2024-01-12T09:00,20.9,84,18.1,0.10,0.10
2024-01-12T10:00,23.6,68,17.5,0.00,0.00
2024-01-12T11:00,25.7,56,16.4,0.00,0.00
2024-01-12T12:00,26.4,53,16.0,0.00,0.00
2024-01-12T13:00,27.9,47,15.5,0.10,0.10
2024-01-12T14:00,27.9,47,15.4,0.20,0.20
2024-01-12T15:00,28.2,45,15.2,0.40,0.40
2024-01-12T16:00,27.8,49,16.0,0.00,0.00
2024-01-12T17:00,26.2,50,15.1,0.20,0.20
2024-01-12T18:00,25.0,57,15.8,0.00,0.00
2024-01-12T19:00,22.9,71,17.5,0.00,0.00
2024-01-12T20:00,21.6,83,18.5,0.00,0.00
2024-01-12T21:00,21.6,84,18.7,0.00,0.00
2024-01-12T22:00,21.4,82,18.3,0.00,0.00
2024-01-12T23:00,21.0,82,17.9,0.00,0.00
2024-01-13T00:00,20.2,86,17.9,0.00,0.00
2024-01-13T01:00,20.3,88,18.2,0.00,0.00
2024-01-13T02:00,20.0,91,18.5,0.00,0.00
2024-01-13T03:00,19.6,92,18.4,0.00,0.00
2024-01-13T04:00,18.7,93,17.6,0.00,0.00
2024-01-13T05:00,18.6,87,16.3,0.00,0.00
2024-01-13T06:00,18.5,85,16.0,0.00,0.00
2024-01-13T07:00,18.5,85,16.0,0.00,0.00
2024-01-13T08:00,19.5,83,16.6,0.00,0.00
2024-01-13T09:00,21.8,75,17.1,0.00,0.00
2024-01-13T10:00,24.5,61,16.4,0.00,0.00
2024-01-13T11:00,26.5,50,15.2,0.00,0.00
2024-01-13T12:00,27.7,43,14.0,0.00,0.00
2024-01-13T13:00,28.4,41,14.0,0.00,0.00
2024-01-13T14:00,28.3,42,14.0,0.00,0.00
2024-01-13T15:00,28.5,41,14.1,0.00,0.00
2024-01-13T16:00,27.3,47,15.0,0.00,0.00
2024-01-13T17:00,26.9,47,14.7,0.00,0.00
2024-01-13T18:00,25.9,51,14.9,0.00,0.00
2024-01-13T19:00,22.9,68,16.6,0.00,0.00
2024-01-13T20:00,21.8,72,16.5,0.00,0.00
2024-01-13T21:00,21.1,82,17.9,0.00,0.00
2024-01-13T22:00,21.1,82,17.8,0.00,0.00
2024-01-13T23:00,21.0,81,17.6,0.00,0.00
2024-01-14T00:00,20.8,82,17.6,0.00,0.00
2024-01-14T01:00,20.7,83,17.8,0.20,0.20
2024-01-14T02:00,20.2,87,17.9,0.00,0.00
2024-01-14T03:00,19.9,89,18.0,0.10,0.10
2024-01-14T04:00,19.5,95,18.7,0.10,0.10
2024-01-14T05:00,19.2,95,18.4,0.00,0.00
2024-01-14T06:00,19.0,97,18.5,0.00,0.00
2024-01-14T07:00,18.8,97,18.3,0.00,0.00
2024-01-14T08:00,19.8,95,19.1,0.00,0.00
2024-01-14T09:00,21.8,88,19.7,0.20,0.20
2024-01-14T10:00,23.2,80,19.6,0.30,0.30
2024-01-14T11:00,24.5,71,19.0,0.20,0.20
2024-01-14T12:00,25.5,65,18.3,0.10,0.10
2024-01-14T13:00,27.2,55,17.5,0.00,0.00
2024-01-14T14:00,28.1,51,16.9,0.00,0.00
2024-01-14T15:00,27.9,48,16.0,0.00,0.00
2024-01-14T16:00,26.3,55,16.5,0.00,0.00
2024-01-14T17:00,26.1,55,16.4,0.10,0.10
2024-01-14T18:00,25.1,64,17.7,0.00,0.00
2024-01-14T19:00,23.3,76,18.9,0.00,0.00
2024-01-14T20:00,20.9,89,19.1,0.00,0.00
2024-01-14T21:00,20.6,91,19.1,0.00,0.00
2024-01-14T22:00,19.9,94,18.9,0.00,0.00
2024-01-14T23:00,19.7,95,18.8,0.00,0.00
2024-01-15T00:00,19.8,94,18.8,0.00,0.00
2024-01-15T01:00,19.7,93,18.6,0.00,0.00
2024-01-15T02:00,19.6,93,18.4,0.00,0.00
2024-01-15T03:00,18.6,96,17.9,0.00,0.00
2024-01-15T04:00,18.7,93,17.5,0.00,0.00
2024-01-15T05:00,18.7,93,17.5,0.00,0.00
2024-01-15T06:00,17.8,95,17.0,0.00,0.00
2024-01-15T07:00,17.7,96,17.0,0.00,0.00
2024-01-15T08:00,19.6,88,17.5,0.00,0.00
2024-01-15T09:00,22.2,78,18.2,0.10,0.10
2024-01-15T10:00,24.0,69,17.9,0.00,0.00
2024-01-15T11:00,26.1,58,17.3,0.00,0.00
2024-01-15T12:00,27.6,51,16.5,0.00,0.00
2024-01-15T13:00,28.6,48,16.4,0.00,0.00
2024-01-15T14:00,29.5,45,16.2,0.00,0.00
2024-01-15T15:00,29.8,42,15.4,0.00,0.00
2024-01-15T16:00,29.1,41,14.5,0.00,0.00
2024-01-15T17:00,28.8,42,14.5,0.00,0.00
2024-01-15T18:00,27.4,54,17.4,0.00,0.00
2024-01-15T19:00,23.3,73,18.1,0.00,0.00
2024-01-15T20:00,22.6,77,18.3,0.00,0.00
2024-01-15T21:00,21.4,84,18.6,0.00,0.00
2024-01-15T22:00,20.9,89,19.0,0.00,0.00
2024-01-15T23:00,20.1,93,19.0,0.00,0.00
2024-01-16T00:00,19.6,94,18.5,0.00,0.00
2024-01-16T01:00,19.7,93,18.6,0.00,0.00
2024-01-16T02:00,19.0,94,18.1,0.00,0.00
2024-01-16T03:00,19.8,92,18.4,0.00,0.00
2024-01-16T04:00,20.0,91,18.6,0.00,0.00
2024-01-16T05:00,18.7,94,17.8,0.00,0.00
2024-01-16T06:00,18.4,94,17.4,0.00,0.00
2024-01-16T07:00,19.0,92,17.6,0.00,0.00
2024-01-16T08:00,19.8,88,17.7,0.00,0.00
2024-01-16T09:00,21.5,86,19.1,0.00,0.00
2024-01-16T10:00,24.2,69,18.1,0.00,0.00
2024-01-16T11:00,26.0,56,16.6,0.00,0.00
2024-01-16T12:00,27.0,50,15.8,0.10,0.10
2024-01-16T13:00,27.9,46,15.4,0.10,0.10
